,,BTC
,close,daily_return
time,,
2014-09-11,476.38,-0.001530045482
2014-09-12,473.69,-0.005646752592
2014-09-13,476,0.004876607064
2014-09-14,474.8,-0.002521008403
2014-09-15,473.03,-0.003727885425
2014-09-16,462.59,-0.02207048179
2014-09-17,454.62,-0.01722907975
2014-09-18,423.56,-0.06832079539
2014-09-19,393.26,-0.07153650014
2014-09-20,408.5,0.03875298785
2014-09-21,396.62,-0.02908200734
2014-09-22,398.31,0.004261005496
2014-09-23,433.75,0.08897592328
2014-09-24,420.92,-0.02957925072
2014-09-25,407.98,-0.03074218379
2014-09-26,402.88,-0.01250061278
2014-09-27,398.01,-0.01208796664
2014-09-28,375.99,-0.05532524308
2014-09-29,373.09,-0.00771297109
2014-09-30,387.35,0.0382213407
2014-10-01,380.89,-0.01667742352
2014-10-02,371.84,-0.02376014072
2014-10-03,356.19,-0.04208799484
2014-10-04,327.88,-0.07948005278
2014-10-05,325.11,-0.008448212761
2014-10-06,328.73,0.01113469287
2014-10-07,331.72,0.009095610379
2014-10-08,353.39,0.0653261787
2014-10-09,358.4,0.01417697162
2014-10-10,357.55,-0.002371651786
2014-10-11,359.52,0.00550971892
2014-10-12,374.17,0.04074877615
2014-10-13,387.04,0.0343961301
2014-10-14,398.29,0.02906676313
2014-10-15,392.19,-0.01531547365
2014-10-16,379.39,-0.03263724215
2014-10-17,380.29,0.002372229105
2014-10-18,389.12,0.02321912225
2014-10-19,386.94,-0.005602384868
2014-10-20,379.77,-0.01853000465
2014-10-21,382.41,0.006951575954
2014-10-22,379.44,-0.007766533302
2014-10-23,356.2,-0.06124815518
2014-10-24,354.32,-0.005277933745
2014-10-25,347.03,-0.02057462181
2014-10-26,350.19,0.009105840994
2014-10-27,348.29,-0.005425626089
2014-10-28,351.56,0.009388727784
2014-10-29,333.15,-0.05236659461
2014-10-30,343.67,0.03157736755
2014-10-31,336.59,-0.02060115809
2014-11-01,323.98,-0.03746397695
2014-11-02,323.98,0
2014-11-03,324,6.17E-05
2014-11-04,328.01,0.01237654321
2014-11-05,337.59,0.02920642663
2014-11-06,347.82,0.0303030303
2014-11-07,341.23,-0.01894658157
2014-11-08,344.18,0.008645195323
2014-11-09,363.42,0.05590098204
2014-11-10,363.76,0.0009355566562
2014-11-11,366.15,0.00657026611
2014-11-12,418.58,0.1431926806
2014-11-13,414.71,-0.00924554446
2014-11-14,395.24,-0.04694847002
2014-11-15,377.33,-0.04531423945
2014-11-16,387.62,0.02727055893
2014-11-17,384.9,-0.007017181776
2014-11-18,374.87,-0.02605871655
2014-11-19,376.79,0.005121775549
2014-11-20,355.39,-0.05679556251
2014-11-21,349.39,-0.01688286108
2014-11-22,351.55,0.006182203269
2014-11-23,366.78,0.04332242924
2014-11-24,377.74,0.02988167294
2014-11-25,375.25,-0.006591835654
2014-11-26,365.77,-0.02526315789
2014-11-27,368.45,0.007327008776
2014-11-28,376.95,0.02306961596
2014-11-29,374.96,-0.00527921475
2014-11-30,376.47,0.004027096224
2014-12-01,379.49,0.008021887534
2014-12-02,381.38,0.004980368389
2014-12-03,374.1,-0.01908857308
2014-12-04,368.23,-0.01569099171
2014-12-05,376.38,0.02213290606
2014-12-06,373.67,-0.007200170041
2014-12-07,374.45,0.002087403324
2014-12-08,361.43,-0.03477099746
2014-12-09,350.93,-0.02905126857
2014-12-10,346.98,-0.011255806
2014-12-11,346.91,-0.0002017407343
2014-12-12,351.5,0.0132310974
2014-12-13,347.48,-0.01143669986
2014-12-14,350.13,0.007626338207
2014-12-15,344.62,-0.01573701197
2014-12-16,328.53,-0.04668910684
2014-12-17,318.83,-0.02952546191
2014-12-18,309.76,-0.02844776213
2014-12-19,317.54,0.02511621901
2014-12-20,328.77,0.03536562323
2014-12-21,319.5,-0.02819600328
2014-12-22,329.89,0.03251956182
2014-12-23,333.97,0.01236775895
2014-12-24,322.19,-0.03527262928
2014-12-25,318.17,-0.01247710978
2014-12-26,327.72,0.03001540057
2014-12-27,314.57,-0.04012571708
2014-12-28,316.49,0.006103569953
2014-12-29,312.63,-0.01219627792
2014-12-30,310.08,-0.008156606852
2014-12-31,317.38,0.02354231166
2015-01-01,313.99,-0.01068120234
2015-01-02,314.45,0.001465014809
2015-01-03,286.57,-0.08866274447
2015-01-04,260.94,-0.08943713578
2015-01-05,273.22,0.04706062696
2015-01-06,285.37,0.04446965815
2015-01-07,295.87,0.03679433718
2015-01-08,284.45,-0.03859803292
2015-01-09,289.57,0.01799964844
2015-01-10,274.53,-0.05193908209
2015-01-11,267.18,-0.02677303027
2015-01-12,268.35,0.00437907029
2015-01-13,221.44,-0.1748090181
2015-01-14,172.15,-0.2225885116
2015-01-15,210.56,0.2231193726
2015-01-16,205.82,-0.02251139818
2015-01-17,199.49,-0.03075502867
2015-01-18,208.99,0.04762143466
2015-01-19,214.54,0.02655629456
2015-01-20,210.51,-0.01878437587
2015-01-21,224.05,0.0643199848
2015-01-22,232.04,0.03566168266
2015-01-23,232.9,0.003706257542
2015-01-24,248.1,0.06526406183
2015-01-25,253.84,0.02313583233
2015-01-26,271.29,0.06874409077
2015-01-27,259.24,-0.0444174131
2015-01-29,232.53,-0.1030319395
2015-01-30,228.64,-0.01672902421
2015-01-31,218.02,-0.04644856543
2015-02-01,226.27,0.03784056509
2015-02-02,240.02,0.0607681089
2015-02-03,226.01,-0.05837013582
2015-02-04,225.31,-0.003097208088
2015-02-05,216.91,-0.03728196707
2015-02-06,222.49,0.02572495505
2015-02-07,227.21,0.0212144366
2015-02-08,222.91,-0.01892522336
2015-02-09,220.09,-0.01265084563
2015-02-10,220.65,0.002544413649
2015-02-11,219.1,-0.007024699751
2015-02-12,222.04,0.01341853035
2015-02-13,235.68,0.06143037291
2015-02-14,259.01,0.09899015614
2015-02-15,233,-0.1004208332
2015-02-16,235.92,0.01253218884
2015-02-17,242.46,0.02772126144
2015-02-18,234.62,-0.03233523055
2015-02-19,240.3,0.02420935982
2015-02-20,244.08,0.01573033708
2015-02-21,244.15,0.000286791216
2015-02-22,235.55,-0.03522424739
2015-02-23,238.13,0.01095308852
2015-02-24,238.73,0.002519632134
2015-02-25,237.38,-0.005654923973
2015-02-26,236.17,-0.005097312326
2015-02-27,253.9,0.07507304061
2015-02-28,253.6,-0.001181567546
2015-03-01,257.71,0.01620662461
2015-03-02,269.96,0.0475340499
2015-03-03,280.62,0.03948733146
2015-03-04,273.02,-0.02708288789
2015-03-05,274.83,0.006629550949
2015-03-06,272.34,-0.009060146272
2015-03-07,275.58,0.01189689359
2015-03-08,274.58,-0.003628710356
2015-03-09,289.3,0.05360914852
2015-03-10,290.31,0.00349118562
2015-03-11,295.96,0.01946195446
2015-03-12,293.92,-0.006892823355
2015-03-13,288.04,-0.02000544366
2015-03-14,281.49,-0.02273989724
2015-03-15,285.26,0.01339301574
2015-03-16,290.1,0.01696697749
2015-03-17,284.35,-0.01982075147
2015-03-18,255.61,-0.1010726218
2015-03-19,260,0.01717460193
2015-03-20,260.91,0.0035
2015-03-21,259.49,-0.005442489747
2015-03-22,267.8,0.03202435547
2015-03-23,266.03,-0.006609410007
2015-03-24,245.17,-0.07841220915
2015-03-25,246.27,0.00448668271
2015-03-26,247.56,0.005238153246
2015-03-27,247.15,-0.001656164162
2015-03-28,252.05,0.01982601659
2015-03-29,241.91,-0.04023011307
2015-03-30,246.54,0.01913934934
2015-03-31,243.27,-0.01326356778
2015-04-01,246.78,0.01442841287
2015-04-02,252.34,0.02253018883
2015-04-03,253.62,0.005072521202
2015-04-04,253.32,-0.001182872013
2015-04-05,259.71,0.02522501184
2015-04-06,255.42,-0.0165184244
2015-04-07,253.21,-0.008652415629
2015-04-08,244.27,-0.03530666245
2015-04-09,243.2,-0.004380398739
2015-04-10,234.53,-0.03564967105
2015-04-11,236.45,0.008186585938
2015-04-12,235.74,-0.003002748996
2015-04-13,223.95,-0.05001272588
2015-04-14,218,-0.02656843045
2015-04-15,223.02,0.02302752294
2015-04-16,228,0.02232983589
2015-04-17,222.42,-0.02447368421
2015-04-18,222.95,0.002382879237
2015-04-19,222.68,-0.001211033864
2015-04-20,224.31,0.007319920963
2015-04-21,234.69,0.04627524408
2015-04-22,233.78,-0.003877455367
2015-04-23,235.17,0.005945760972
2015-04-24,230.99,-0.01777437598
2015-04-25,225.96,-0.02177583445
2015-04-26,218.51,-0.03297043725
2015-04-27,228.57,0.04603908288
2015-04-28,225.64,-0.01281883012
2015-04-29,226,0.001595461798
2015-04-30,236.22,0.04522123894
2015-05-01,232.74,-0.01473202946
2015-05-02,235.16,0.01039786887
2015-05-03,239.88,0.02007144072
2015-05-04,238.97,-0.003793563448
2015-05-05,236,-0.01242833829
2015-05-06,229.82,-0.02618644068
2015-05-07,236.85,0.03058915673
2015-05-08,243.66,0.02875237492
2015-05-09,241.53,-0.008741689239
2015-05-10,239.55,-0.008197739411
2015-05-11,241.85,0.009601335838
2015-05-12,241.52,-0.001364482117
2015-05-13,235.48,-0.02500828089
2015-05-14,236.7,0.005180907083
2015-05-15,236.99,0.001225179552
2015-05-16,235.98,-0.004261783198
2015-05-17,236.08,0.0004237647258
2015-05-18,232.48,-0.01524906811
2015-05-19,231.94,-0.002322780454
2015-05-20,234.05,0.009097180305
2015-05-21,235.42,0.005853450117
2015-05-22,240.94,0.02344745561
2015-05-23,239.03,-0.007927284801
2015-05-24,241.24,0.009245701376
2015-05-25,237.44,-0.01575194827
