,,BTC
,close,daily_return
time,,
2015-02-07,227.21,0.021214437
2015-02-08,222.91,-0.018925223
2015-02-09,220.09,-0.012650846
2015-02-10,220.65,0.002544414
2015-02-11,219.1,-0.0070247
2015-02-12,222.04,0.01341853
2015-02-13,235.68,0.061430373
2015-02-14,259.01,0.098990156
2015-02-15,233,-0.100420833
2015-02-16,235.92,0.012532189
2015-02-17,242.46,0.027721261
2015-02-18,234.62,-0.032335231
2015-02-19,240.3,0.02420936
2015-02-20,244.08,0.015730337
2015-02-21,244.15,0.000286791
2015-02-22,235.55,-0.035224247
2015-02-23,238.13,0.010953089
2015-02-24,238.73,0.002519632
2015-02-25,237.38,-0.005654924
2015-02-26,236.17,-0.005097312
2015-02-27,253.9,0.075073041
2015-02-28,253.6,-0.001181568
2015-03-01,257.71,0.016206625
2015-03-02,269.96,0.04753405
2015-03-03,280.62,0.039487331
2015-03-04,273.02,-0.027082888
2015-03-05,274.83,0.006629551
2015-03-06,272.34,-0.009060146
2015-03-07,275.58,0.011896894
2015-03-08,274.58,-0.00362871
2015-03-09,289.3,0.053609149
2015-03-10,290.31,0.003491186
2015-03-11,295.96,0.019461954
2015-03-12,293.92,-0.006892823
2015-03-13,288.04,-0.020005444
2015-03-14,281.49,-0.022739897
2015-03-15,285.26,0.013393016
2015-03-16,290.1,0.016966977
2015-03-17,284.35,-0.019820751
2015-03-18,255.61,-0.101072622
2015-03-19,260,0.017174602
2015-03-20,260.91,0.0035
2015-03-21,259.49,-0.00544249
2015-03-22,267.8,0.032024355
2015-03-23,266.03,-0.00660941
2015-03-24,245.17,-0.078412209
2015-03-25,246.27,0.004486683
2015-03-26,247.56,0.005238153
2015-03-27,247.15,-0.001656164
2015-03-28,252.05,0.019826017
2015-03-29,241.91,-0.040230113
2015-03-30,246.54,0.019139349
2015-03-31,243.27,-0.013263568
2015-04-01,246.78,0.014428413
2015-04-02,252.34,0.022530189
2015-04-03,253.62,0.005072521
2015-04-04,253.32,-0.001182872
2015-04-05,259.71,0.025225012
2015-04-06,255.42,-0.016518424
2015-04-07,253.21,-0.008652416
2015-04-08,244.27,-0.035306662
2015-04-09,243.2,-0.004380399
2015-04-10,234.53,-0.035649671
2015-04-11,236.45,0.008186586
2015-04-12,235.74,-0.003002749
2015-04-13,223.95,-0.050012726
2015-04-14,218,-0.02656843
2015-04-15,223.02,0.023027523
2015-04-16,228,0.022329836
2015-04-17,222.42,-0.024473684
2015-04-18,222.95,0.002382879
2015-04-19,222.68,-0.001211034
2015-04-20,224.31,0.007319921
2015-04-21,234.69,0.046275244
2015-04-22,233.78,-0.003877455
2015-04-23,235.17,0.005945761
2015-04-24,230.99,-0.017774376
2015-04-25,225.96,-0.021775834
2015-04-26,218.51,-0.032970437
2015-04-27,228.57,0.046039083
2015-04-28,225.64,-0.01281883
2015-04-29,226,0.001595462
2015-04-30,236.22,0.045221239
2015-05-01,232.74,-0.014732029
2015-05-02,235.16,0.010397869
2015-05-03,239.88,0.020071441
2015-05-04,238.97,-0.003793563
2015-05-05,236,-0.012428338
2015-05-06,229.82,-0.026186441
