,,LTC
Date,close,daily_return
7/11/2020,44.68,0.009717514
7/12/2020,44.64,-0.000895255
7/13/2020,43.92,-0.016129032
7/14/2020,43.8,-0.00273224
7/15/2020,43.28,-0.011872146
7/16/2020,42.04,-0.028650647
7/17/2020,41.91,-0.003092293
7/18/2020,42.43,0.01240754
7/19/2020,42.55,0.002828188
7/20/2020,41.98,-0.013396005
7/21/2020,43.62,0.039066222
7/22/2020,44.94,0.030261348
7/23/2020,44.85,-0.00200267
7/24/2020,44.18,-0.014938685
7/25/2020,48.8,0.104572205
7/26/2020,47.98,-0.016803279
7/27/2020,52.95,0.103584827
7/28/2020,55.58,0.0496695
7/29/2020,55.17,-0.007376754
7/30/2020,56.64,0.026644916
7/31/2020,58,0.024011299
8/1/2020,61.29,0.056724138
8/2/2020,56.64,-0.07586882
8/3/2020,58.47,0.032309322
8/4/2020,57.53,-0.01607662
8/5/2020,59.01,0.025725708
8/6/2020,59.16,0.002541942
8/7/2020,57.25,-0.032285328
8/8/2020,58.13,0.015371179
8/9/2020,57.14,-0.017030793
8/10/2020,58.29,0.020126006
8/11/2020,54.39,-0.066906845
8/12/2020,54.97,0.010663725
8/13/2020,57.74,0.050391122
8/14/2020,56.75,-0.017145826
8/15/2020,59.93,0.056035242
8/16/2020,63.83,0.065075922
8/17/2020,67.03,0.050133166
8/18/2020,65.53,-0.02237804
8/19/2020,62,-0.053868457
8/20/2020,62.97,0.015645161
8/21/2020,59.38,-0.057011275
8/22/2020,60.31,0.015661839
8/23/2020,60.62,0.005140109
8/24/2020,62.2,0.026064005
8/25/2020,58.58,-0.058199357
8/26/2020,58.36,-0.003755548
8/27/2020,56.04,-0.039753256
8/28/2020,57.35,0.02337616
8/29/2020,57.29,-0.001046207
8/30/2020,62.73,0.09495549
8/31/2020,61.11,-0.025824964
9/1/2020,62.88,0.028964163
9/2/2020,58.1,-0.076017812
9/3/2020,47.77,-0.177796902
9/4/2020,50.61,0.059451539
9/5/2020,47.59,-0.059672002
9/6/2020,48.05,0.009665896
9/7/2020,48.77,0.014984391
9/8/2020,47.38,-0.028501128
9/9/2020,47.9,0.010975095
9/10/2020,48.72,0.017118998
9/11/2020,49.09,0.007594417
9/12/2020,50.82,0.035241393
9/13/2020,48.07,-0.054112554
9/14/2020,49.09,0.021219056
9/15/2020,48.39,-0.014259523
9/16/2020,47.93,-0.009506096
9/17/2020,48.88,0.019820572
9/18/2020,48.46,-0.008592471
9/19/2020,48.68,0.004539827
9/20/2020,47.1,-0.032456861
9/21/2020,43.39,-0.078768577
9/22/2020,44.55,0.026734271
9/23/2020,43.06,-0.033445567
9/24/2020,45.04,0.04598235
9/25/2020,46.09,0.023312611
9/26/2020,46.19,0.002169668
9/27/2020,46.09,-0.002164971
9/28/2020,45.36,-0.015838577
9/29/2020,45.8,0.009700176
9/30/2020,46.37,0.012445415
10/1/2020,46.31,-0.00129394
10/2/2020,44.92,-0.030015116
10/3/2020,45.58,0.014692787
10/4/2020,46.73,0.025230364
10/5/2020,46.36,-0.007917826
10/6/2020,45.99,-0.007981018
10/7/2020,46.66,0.014568384
10/8/2020,47.22,0.012001715
10/9/2020,47.83,0.012918255
10/10/2020,48.92,0.022789045
10/11/2020,50.73,0.036999182
10/12/2020,50.74,0.000197122
10/13/2020,49.94,-0.015766654
10/14/2020,49.85,-0.001802163
10/15/2020,49.49,-0.007221665
10/16/2020,47.69,-0.036370984
10/17/2020,47.05,-0.013420004
10/18/2020,47.62,0.012114772
10/19/2020,48.1,0.010079798
10/20/2020,47.05,-0.021829522
10/21/2020,53.05,0.127523911
10/22/2020,54.27,0.022997172
10/23/2020,55.24,0.017873595
10/24/2020,59.1,0.069876901
10/25/2020,58.67,-0.007275804
10/26/2020,56.75,-0.032725413
10/27/2020,57.82,0.018854626
10/28/2020,55.74,-0.035973712
10/29/2020,54.77,-0.017402225
10/30/2020,53.84,-0.016980099
10/31/2020,55.59,0.032503715
11/1/2020,55.59,0
11/2/2020,53.82,-0.031840259
11/3/2020,53.82,0
11/4/2020,54.5,0.012634708
11/5/2020,58.68,0.076697248
11/6/2020,63.13,0.075835037
11/7/2020,59.14,-0.063202915
11/8/2020,61.06,0.032465336
11/9/2020,59.36,-0.027841467
11/10/2020,58.24,-0.018867925
11/11/2020,59.52,0.021978022
11/12/2020,60.37,0.014280914
11/13/2020,65.46,0.084313401
11/14/2020,63.77,-0.025817293
11/15/2020,62.28,-0.023365219
11/16/2020,71.33,0.145311496
11/17/2020,75.85,0.063367447
11/18/2020,73.69,-0.028477258
11/19/2020,81.68,0.108427195
11/20/2020,82.58,0.011018609
11/21/2020,86.41,0.046379269
11/22/2020,82.7,-0.042934846
11/23/2020,89.04,0.076662636
11/24/2020,89.21,0.001909254
11/25/2020,81.88,-0.082165676
11/26/2020,70.87,-0.134465071
11/27/2020,69.12,-0.0246931
11/28/2020,72.69,0.051649306
11/29/2020,79.24,0.090108681
11/30/2020,87.57,0.105123675
12/1/2020,85.44,-0.024323398
12/2/2020,88.86,0.04002809
12/3/2020,89.1,0.002700878
12/4/2020,80.02,-0.101907969
12/5/2020,83.12,0.038740315
12/6/2020,83.56,0.005293551
12/7/2020,83.62,0.000718047
12/8/2020,76.75,-0.082157379
12/9/2020,77.41,0.008599349
12/10/2020,74.83,-0.033329027
12/11/2020,72.09,-0.03661633
12/12/2020,76.71,0.064086558
12/13/2020,82,0.068961022
12/14/2020,82.36,0.004390244
12/15/2020,81.4,-0.011656144
12/16/2020,92.79,0.13992629
12/17/2020,100.96,0.088048281
12/18/2020,109.38,0.083399366
12/19/2020,120.56,0.10221247
12/20/2020,114.67,-0.048855342
12/21/2020,105.01,-0.084241737
12/22/2020,113.68,0.082563565
12/23/2020,101.82,-0.104327938
12/24/2020,111.57,0.095757219
12/25/2020,126.98,0.138119566
12/26/2020,129.46,0.019530635
12/27/2020,127.52,-0.014985324
12/28/2020,130.05,0.019840025
12/29/2020,129.04,-0.007766244
12/30/2020,129.47,0.0033323
12/31/2020,124.69,-0.03691975
1/1/2021,126.23,0.01235063
1/2/2021,136.94,0.084845124
1/3/2021,160.19,0.169782386
1/4/2021,154.81,-0.033585118
1/5/2021,158.59,0.024417027
1/6/2021,169.02,0.065767072
1/7/2021,169.62,0.003549876
1/8/2021,173.28,0.021577644
1/9/2021,177.48,0.024238227
1/10/2021,171.11,-0.035891368
1/11/2021,139.25,-0.186196014
1/12/2021,132.64,-0.047468582
1/13/2021,147.42,0.111429433
1/14/2021,152.08,0.031610365
1/15/2021,144.24,-0.051551815
1/16/2021,144.27,0.000207987
1/17/2021,142.43,-0.012753864
1/18/2021,152.14,0.06817384
1/19/2021,153.49,0.008873406
1/20/2021,149.93,-0.023193693
1/21/2021,130.13,-0.132061629
1/22/2021,137.27,0.054868209
1/23/2021,137.75,0.003496758
1/24/2021,141.48,0.02707804
1/25/2021,137.44,-0.028555273
1/26/2021,134.76,-0.019499418
1/27/2021,122.95,-0.087637281
1/28/2021,133.49,0.085725905
1/29/2021,135.01,0.011386621
1/30/2021,133.4,-0.011925043
1/31/2021,129.57,-0.028710645
2/1/2021,131.95,0.018368449
2/2/2021,142.51,0.080030315
2/3/2021,155.61,0.091923374
2/4/2021,145.15,-0.06721933
2/5/2021,154.85,0.06682742
2/6/2021,155.71,0.005553762
2/7/2021,151.14,-0.029349432
2/8/2021,167.22,0.106391425
2/9/2021,182.11,0.089044373
2/10/2021,182.17,0.000329471
2/11/2021,184.5,0.012790251
2/12/2021,197.23,0.06899729
2/13/2021,226.23,0.147036455
2/14/2021,214.43,-0.052159307
2/15/2021,207.68,-0.031478804
2/16/2021,210.55,0.013819337
2/17/2021,236.97,0.125480883
2/18/2021,226.87,-0.042621429
2/19/2021,236.68,0.043240622
2/20/2021,227.62,-0.038279534
2/21/2021,227.23,-0.001713382
2/22/2021,208.11,-0.084143819
2/23/2021,176.93,-0.149824612
2/24/2021,181.38,0.02515119
2/25/2021,178.9,-0.013672952
2/26/2021,170.4,-0.047512577
2/27/2021,172.1,0.009976526
2/28/2021,164.93,-0.041661825
3/1/2021,175.24,0.062511368
3/2/2021,177.87,0.015007989
3/3/2021,188.53,0.059931411
3/4/2021,181.08,-0.039516257
3/5/2021,180.77,-0.001711951
3/6/2021,182.98,0.01222548
3/7/2021,190.76,0.042518308
3/8/2021,191.93,0.006133361
3/9/2021,203.64,0.061011827
