,,MKR
Date,close,daily_return
1/16/2021,1489.27,0.008580523
1/17/2021,1440.74,-0.032586435
1/18/2021,1424.22,-0.01146633
1/19/2021,1404.44,-0.013888304
1/20/2021,1398.7,-0.004087038
1/21/2021,1156.59,-0.173096447
1/22/2021,1405.61,0.215305337
1/23/2021,1379.59,-0.018511536
1/24/2021,1454.25,0.054117528
1/25/2021,1371.63,-0.05681279
1/26/2021,1475.1,0.075435795
1/27/2021,1329.17,-0.098928886
1/28/2021,1409.97,0.060789816
1/29/2021,1406.73,-0.002297921
1/30/2021,1578.17,0.12187129
1/31/2021,1480.81,-0.061691706
2/1/2021,1474.69,-0.004132873
2/2/2021,1698.54,0.151794614
2/3/2021,1763.66,0.038338809
2/4/2021,2088.43,0.18414547
2/5/2021,2692.8,0.289389637
2/6/2021,2511.33,-0.06739082
2/7/2021,2470.95,-0.016079129
2/8/2021,2499.43,0.011525931
2/9/2021,2565.35,0.026374013
2/10/2021,2530.2,-0.013701834
2/11/2021,2546.46,0.006426369
2/12/2021,2743.64,0.077432985
2/13/2021,2596.91,-0.053480048
2/14/2021,2526.09,-0.027270872
2/15/2021,2466.89,-0.023435428
2/16/2021,2488.56,0.00878434
2/17/2021,2607.96,0.047979554
2/18/2021,2625.19,0.006606696
2/19/2021,2567.43,-0.022002217
2/20/2021,2606.13,0.015073439
2/21/2021,2616.08,0.003817922
2/22/2021,2377.04,-0.091373352
2/23/2021,2219.51,-0.066271497
2/24/2021,2233.77,0.006424842
2/25/2021,2033.24,-0.089772
2/26/2021,1953.7,-0.039119828
2/27/2021,1979.73,0.013323438
2/28/2021,2029.31,0.025043819
3/1/2021,2172.82,0.070718619
3/2/2021,2173.16,0.000156479
3/3/2021,2198.98,0.011881316
3/4/2021,2199.04,2.73E-05
3/5/2021,2063.33,-0.061713293
3/6/2021,2237.46,0.084392705
3/7/2021,2231.46,-0.002681612
3/8/2021,2188.54,-0.019234044
3/9/2021,2258.47,0.031952809
3/10/2021,2256.74,-0.000766005
3/11/2021,2227.02,-0.013169439
3/12/2021,2139.25,-0.039411411
3/13/2021,2175.57,0.016977913
3/14/2021,2057.5,-0.054270835
3/15/2021,1995.93,-0.029924666
3/16/2021,2067.21,0.035712675
3/17/2021,2107.91,0.019688372
3/18/2021,2112.71,0.002277137
3/19/2021,2105.64,-0.003346413
3/20/2021,2140.34,0.01647955
3/21/2021,2103.98,-0.016987955
3/22/2021,1976.52,-0.060580424
3/23/2021,2017.28,0.020622103
3/24/2021,1826.34,-0.094652205
3/25/2021,1890.32,0.035031812
3/26/2021,1982.31,0.048663718
3/27/2021,2146.17,0.082661138
3/28/2021,2063.13,-0.038692182
3/29/2021,2090.22,0.013130535
3/30/2021,2082.05,-0.003908679
3/31/2021,2103.51,0.010307149
4/1/2021,2302.54,0.094618043
4/2/2021,2483.64,0.078652271
4/3/2021,2237.21,-0.099221304
4/4/2021,2308.02,0.03165103
