Date,Open*,High,Low,Close**,Volume,Market Cap
3/9/2021,2188.17,2266.39,2140.26,2258.47,103779139,2247717271
3/8/2021,2231.83,2248.17,2067.7,2188.54,115338460,2178120556
3/7/2021,2237.98,2251.68,2161.09,2231.46,68740697,2220835807
3/6/2021,2062.8,2310.17,2048.97,2237.46,112235172,2226807085
3/5/2021,2198.55,2198.55,2049.37,2063.33,65955784,2053501853
3/4/2021,2198.19,2232.43,2052.62,2199.04,98564483,2188568761
3/3/2021,2172.65,2359.74,2162.15,2198.98,80078311,2188505693
3/2/2021,2172.89,2290.44,2099.76,2173.16,80878871,2162813704
3/1/2021,2030.19,2252.86,2029.07,2172.82,107348787,2162475756
2/28/2021,1979.36,2066.38,1798.53,2029.31,101657179,2019648779
2/27/2021,1954.58,2077.76,1946.45,1979.73,73081045,1970301909
2/26/2021,2035.04,2125.76,1895.57,1953.7,90653631,1944398551
2/25/2021,2233.63,2328.99,2025.66,2033.24,95137215,2023559863
2/24/2021,2225.6,2413.85,2166.57,2233.77,119265499,2223352977
2/23/2021,2376.86,2379.02,1786.4,2219.51,256093857,2209489848
2/22/2021,2616.3,2616.91,2091.83,2377.04,165341917,2366800539
2/21/2021,2604.33,2725.82,2554.1,2616.08,120978843,2604810012
2/20/2021,2567.22,3041.57,2505.79,2606.13,272668190,2594903042
2/19/2021,2625.25,2665.06,2519.14,2567.43,113248750,2556365192
2/18/2021,2609.13,2696.7,2550.51,2625.19,122682833,2613884291
2/17/2021,2488.51,2612.64,2376.99,2607.96,151408087,2596728521
2/16/2021,2464.36,2587.99,2421.02,2488.56,152530221,2477837274
2/15/2021,2524.22,2595.43,2231.12,2466.89,198332644,2456262361
2/14/2021,2595.43,2662.1,2487.51,2526.09,175933475,2515203238
2/13/2021,2741.47,2787.05,2548.93,2596.91,222854450,2585718498
2/12/2021,2544.76,2812.1,2524.4,2743.64,318018130,2731816717
2/11/2021,2526.95,2619.24,2457.53,2546.46,228026287,2535484665
2/10/2021,2565.39,2707.58,2343.63,2530.2,296987002,2519299454
2/9/2021,2499.02,2629.78,2451.07,2565.35,249827214,2554295472
2/8/2021,2468.2,2701.1,2406.91,2499.43,350045618,2488660781
2/7/2021,2514.54,2642.96,2265.26,2470.95,328655853,2460300156
2/6/2021,2692.92,2815.99,2290.54,2511.33,507063044,2500513519
2/5/2021,2092.45,3036.41,2092.45,2692.8,891027028,2681201555
2/4/2021,1763.77,2307.4,1668.48,2088.43,390954239,2079433413
2/3/2021,1699.25,1765.82,1642.13,1763.66,196466637,1756063153
2/2/2021,1474.53,1769.59,1469.83,1698.54,300032859,1691221272
2/1/2021,1481.03,1510.82,1425.16,1474.69,150223774,1468336484
1/31/2021,1578.21,1600.79,1411.08,1480.81,184929760,1474429130
1/30/2021,1406.83,1627.96,1390.74,1578.17,257987873,1571365748
1/29/2021,1414.49,1458.41,1363.46,1406.73,182178803,1400668110
1/28/2021,1329.31,1449.07,1311.25,1409.97,145484757,1403897951
1/27/2021,1474.88,1477.84,1278.26,1329.17,146817177,1323442490
1/26/2021,1371.33,1476.77,1299.77,1475.1,154830779,1468745543
1/25/2021,1454.56,1532.71,1348.1,1371.63,161037767,1365721475
1/24/2021,1379.71,1468.61,1368.69,1454.25,155512183,1447987046
1/23/2021,1405.78,1466.3,1361.99,1379.59,166917189,1373642325
1/22/2021,1156.39,1439.8,1077.22,1405.61,214687142,1399549667
1/21/2021,1399.06,1399.06,1137.2,1156.59,178054824,1151606826
1/20/2021,1403.73,1427.65,1261.25,1398.7,202137957,1392681736
1/19/2021,1424.34,1531.5,1392.89,1404.44,182823454,1398468109
1/18/2021,1440.98,1461.71,1382.77,1424.22,151907477,1418243360
1/17/2021,1488.7,1512.16,1426.71,1440.74,185683432,1434765995
1/16/2021,1477.12,1614.45,1469.22,1489.27,221918760,1483166822
1/15/2021,1594.22,1635.07,1351.69,1476.6,260200597,1470643455
1/14/2021,1544.72,1702.41,1480.55,1591.17,272019061,1584801692
1/13/2021,1483.9,1576.06,1393.14,1545.03,271612090,1538918345
1/12/2021,1406.96,1623.17,1326.4,1483.14,402434064,1477341385
1/11/2021,1505.82,1505.82,1083.37,1408.39,487919099,1402994367
1/10/2021,1587.24,1976.24,1445.28,1514.96,702693481,1509293646
1/9/2021,1043.52,1580.71,1028.68,1578.58,457956212,1572745031
1/8/2021,1063.64,1123.61,958.82,1045.07,165155882,1041273141
1/7/2021,1029.53,1176.75,1014.17,1064.73,276749094,1060928131
1/6/2021,762.86,1244.73,740.81,1023.96,386363335,1020399756
1/5/2021,682.91,775.13,654.62,762.64,99610477,760038895
1/4/2021,678.51,749.02,632.78,682.63,94378307,680418713
1/3/2021,609.41,697.94,609.37,678.72,110201825,676648941
1/2/2021,582.28,616.62,570.52,609.31,61864848,607505655
1/1/2021,587.02,600.52,574.51,582.22,43374809,580549443
12/31/2020,576.06,590.32,551.93,586.96,33039320,585318127
12/30/2020,564.5,583.28,543.65,576.02,39292775,574468696
12/29/2020,584.05,592.7,539.94,564.55,47626379,563085162
12/28/2020,564.37,596.12,560.2,584.04,48913091,582576325
